question_text,question_type,answer,option_a,option_b,option_c,option_d,option_e,option_f,game,variation,has_picture,source_folder,source_file,times_seen,last_seen_folder,topic,stale_risk,stale_reason
"As the crow flies, to the nearest kilometre, how far apart are the towns or cities where these football managers were born?",number,"356 km (Pep Guardiola was born in Santpedor, Catalonia; Mikel Arteta was born in San Sebastián, Basque Country)",,,,,,,Nearest Wins,,True,5 May 2026,Round 4 - Nearest Wins.sqn,1,5 May 2026,Sport,,
What southern European country takes its name from a Venetian word meaning 'Black Mountain'?,text_answer,Montenegro,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Geography,,
"With which '70s TV show would you associate the catchphrase: ""We can rebuild him. We have the technology""?",text_answer,The Six Million Dollar Man,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Film & TV,,
"Traditionally, pesto is made using garlic, basil, parmesan cheese, olive oil, and what kind of nut?",text_answer,Pine nut,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Food & Drink,,
Name the football star pictured here with his sister.,text_answer,Neymar,,,,,,,Quizsentials,,True,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Sport,,
What is there 46 of in the average human body?,text_answer,Chromosomes,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Science & Nature,,
"One of the first of its kind, what book was published by Samuel Johnson in 1755?",text_answer,Dictionary ('A Dictionary of the English Language'),,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Literature & Language,,
What band released the albums 'Mirage' and 'Tango in the Night' in the 1980s?,text_answer,Fleetwood Mac,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Music,,
How many letters make up the word 'nuisance'?,number,8 nuisance,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Literature & Language,,
Who is this little guy?,text_answer,Elmo,,,,,,,Quizsentials,,True,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Film & TV,,
"From most recent to longest ago, put these tennis players in order of when they last won the Wimbledon men's singles title.",sequence,Roger Federer -> Andre Agassi -> Bjorn Borg -> Rod Laver -> Fred Perry,Roger Federer,Andre Agassi,Bjorn Borg,Rod Laver,Fred Perry,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,2,12 Sep 2024,Sport,Yes,ranking of past Wimbledon winners may change
"In 'South Park', what is Butters' real name?",text_answer,Leopold Stotch,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Film & TV,,
The winners of tournaments at the World Series of Poker are awarded what item of jewellery?,multiple_choice,Bracelet,Ring,Bracelet,Necklace,Crown,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Sport,,
"Name this American live streamer, pictured here without any hair.",text_answer,Kai Cenat,,,,,,,Quizsentials,,True,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Current Affairs,Yes,"identifies current streamer, information may change"
"""And all the lights that lead us there are blinding"" is a lyric from which song?",text_answer,Wonderwall (Oasis),,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Music,,
The liqueur Amaretto originated in what country?,text_answer,Italy,,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Food & Drink,,
Which 1981 book begins with the line 'The summer my father bought the bear....'?,text_answer,The Hotel New Hampshire (by John Irving),,,,,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Literature & Language,,
Tap these things in alphabetical order.,sequence,Apple Watch -> iMac -> iPad -> iPhone -> Macbook Air -> Macbook Pro,Apple Watch,iMac,iPad,iPhone,Macbook Air,Macbook Pro,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,4,15 Nov 2024,General Knowledge,,
"From the statue, name the famous playwright.",text_answer,Oscar Wilde,,,,,,,Quizsentials,,True,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Art & Culture,,
Tap these words in order to make the title of a 2014 comedy horror film.,sequence,What -> We -> Do -> In -> The -> Shadows,What,We,Do,In,The,Shadows,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Film & TV,,
"If a Gen Z person says something ""slaps"", what do they mean?",multiple_choice,It's very good,It's awful,It smells very strongly,It's very good,It doesn't exist,,,Quizsentials,,False,5 May 2026,Round 1 - Keypad.sqq,1,5 May 2026,Literature & Language,,
What was the name of the last dynasty to rule Vietnam?,text_answer,Nguyen,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,History,,
"In what year was the Bee Gees song 'Stayin' Alive' first released, the Bond film 'The Spy Who Loved Me' was in cinemas, and wrestler-turned-actor John Cena was born?",number,1977,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,General Knowledge,,
"In 2025, MrBeast's YouTube channel became the first ever to gain how many subscribers?",multiple_choice,400 million,100 million,200 million,300 million,400 million,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Current Affairs,Yes,"references 2025 achievement, may become outdated"
Which former model is Elizabeth Jagger's famous mother?,text_answer,Jerry Hall,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,General Knowledge,,
What Green Day album does this image feature on?,text_answer,American Idiot,,,,,,,Quizsentials,,True,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Music,,
In which US state is Daytona Beach located?,text_answer,Florida,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Geography,,
What colour shirt were England wearing when they won the World Cup in 1966?,multiple_choice,Red,White,Red and White,Red,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Sport,,
How many months end with the letters 'ER'?,number,"4. September, October, November, December",,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,General Knowledge,,
Name the British scientist from this cartoon.,text_answer,Isaac Newton,,,,,,,Quizsentials,,True,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,History,,
Which pop queen recently released the new single 'Bring Your Love' featuring Sabrina Carpenter?,text_answer,Madonna,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Music,Yes,"recently released, time-sensitive"
"Starting with the earliest, put these actresses in the order they first played or voiced the 'Addams Family' character Wednesday Addams.",sequence,Lisa Loring -> Christina Ricci -> Chloë Grace Moretz -> Jenna Ortega,Lisa Loring,Christina Ricci,Chloë Grace Moretz,Jenna Ortega,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Film & TV,,
There are only two living species of animals that are part of the 'monotreme' family. One is the platypus; what is the other?,multiple_choice,Echidna,Aardvark,Porcupine,Otter,Echidna,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Science & Nature,,
"Using its common abbreviation, what type of energy-efficient bulb is spelt the same way as the past tense of a verb meaning to guide or direct?",text_answer,LED (led),,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,General Knowledge,,
What is this musical instrument called?,text_answer,Bandura,,,,,,,Quizsentials,,True,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Music,,
Which modern sport officially changed its name to quadball in 2022?,multiple_choice,Quidditch,Rugby sevens,Padel,Parkour,Quidditch,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Sport,,
"In the 1939 film 'The Wizard of Oz', what was used to create the snow effects?",multiple_choice,Asbestos,Cotton,Feathers,Asbestos,Snow,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Film & TV,,
In which street does the British prime minister officially live?,text_answer,Downing Street,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Current Affairs,Yes,"current PM residence, changes with administration"
"From earliest to most recent, put these American authors in order of when they were born.",sequence,Walt Whitman -> Ernest Hemingway -> Jack Kerouac -> Stephen King,Walt Whitman,Ernest Hemingway,Jack Kerouac,Stephen King,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Literature & Language,,
"Pictured here is John Jacob Astor, one of the richest Americans in history. He originally made his fortune in which trade?",multiple_choice,Fur,Coffee,Oil,Gold,Fur,,,Quizsentials,,True,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,History,,
"Which R&B artist released the 2020 hit 'Heartbreak Anniversary', and featured on the 2021 Justin Bieber single 'Peaches'?",text_answer,Giveon,,,,,,,Quizsentials,,False,5 May 2026,Round 3 - Keypad.sqq,1,5 May 2026,Music,,
