question_text_original,question_text_rewritten,answer,flag
"As the crow flies, to the nearest kilometre, how far apart are the towns or cities where these football managers were born?","As the crow flies, to the nearest kilometre, how far apart are the towns or cities where football managers Pep Guardiola and Mikel Arteta were born?","356 km (Pep Guardiola was born in Santpedor, Catalonia; Mikel Arteta was born in San Sebastián, Basque Country)",
How many times is the title sung in the original version of this Beyoncé song?,,25,song not identified in answer text
How many days passed between the births of the two 'Star Wars' actors pictured here?,How many days passed between the births of the two 'Star Wars' actors Liam Neeson and Ewan McGregor?,"6,871 days (Liam Neeson born 1952; Ewan McGregor born 1971)",
"The world record for the largest mosaic to be made using M&Ms was set in 2017. To the nearest whole number, divide the number of M&Ms used to make that mosaic by the number of them visible in this photo.",,"5,205 (291,590 divided by 56)",number of M&Ms visible in photo cannot be determined from answer text
"As the crow flies, to the nearest kilometre, how far apart are the birthplaces of these two musicians?","As the crow flies, to the nearest kilometre, how far apart are the birthplaces of musicians Bob Marley and Mick Jagger?","8,628km (Bob Marley was born in Nine Mile, Jamaica; Mick Jagger in Dartford, England)",
How many weeks old was this celebrity when they publicly came out as transgender in a TV interview?,How many weeks old was Caitlyn Jenner (then known as Bruce Jenner) when she publicly came out as transgender in a TV interview?,"3,416 weeks (On April 24th 2015 when she was 65 years old. Bruce Jenner, later Caitlyn Jenner, was born October 29th 1949)",
"On January 1st 2026, according to the Wikipedia list, where did the building pictured here rank in the list of tallest buildings in the world?","On January 1st 2026, according to the Wikipedia list, where did the Empire State Building rank in the list of tallest buildings in the world?",60th (Empire State Building),
"Pictured here are two skyscrapers found in Manhattan. When measured to their tips, how many feet taller is the building on the right than the building on the left?","Comparing two skyscrapers found in Manhattan, One World Trade Center and the Empire State Building, when measured to their tips, how many feet taller is One World Trade Center than the Empire State Building?","338 feet (One World Trade Centre - 1,792ft; Empire State Building - 1,454ft)",
How many minutes into the movie 'Paddington' is this picture taken from?,,11 minutes,specific film moment/scene cannot be identified from answer text
How many days separated the dates when these two songs first entered the singles charts in the USA?,,"7,329 days (The Gap Band song 'Oops Upside Your Head' was originally released under the title 'I Don't Believe You Want to Get Up and Dance [Oops!]' and first charted March 29th 1980. 'Oops!... I Did",answer text is truncated; second song title not fully confirmed
How many months separated the initial opening of this Disneyland attraction and the release of the first feature-length movie that is based upon it?,How many months separated the initial opening of the Pirates of the Caribbean Disneyland attraction and the release of the first feature-length movie based upon it?,435 months (The Pirates of the Caribbean attraction opened March 18th 1967; 'Pirates of the Caribbean: The Curse of the Black Pearl' was released June 28th 2003),
How many days separated the births of these two actors?,How many days separated the births of actors Hugh Jackman and Ryan Reynolds?,"2,933 days (Hugh Jackman born October 12th 1968; Ryan Reynolds born October 23rd 1976)",
How many weeks apart were these two singles released?,How many weeks apart were Billy Joel's and Bruno Mars' singles released?,"1,707 weeks (Billy Joel's released Nov 1st 1977; Bruno Mars' released July 20th 2010)",
How many days separated the births of the two people pictured here?,How many days separated the births of Steve Jobs and Bill Gates?,246 days (Steve Jobs - February 1955; Bill Gates - October 1955),
"As the crow flies, to the nearest mile, how far apart are the hometowns of these celebrities?","As the crow flies, to the nearest mile, how far apart are the hometowns of celebrities Cynthia Erivo and Ariana Grande?","3,446 miles (Cynthia Eriva was born in Stockwell, London; Ariana Grande was born in Boca Raton, Florida)",
How many months separated the births of this actor and the musician that he is playing in this picture?,"How many months separated the births of actor Austin Butler and the musician he played, Elvis Presley?",679 months (Austin Butler born Aug 17th 1991; Elvis Presley born Jan 8th 1935),
How many months were there between the death of the real-life character pictured here and the birth of the actor who is playing him?,"How many months were there between the death of Alexander Hamilton and the birth of Lin-Manuel Miranda, the actor who played him?","2,106 months (Alexander Hamilton died July 12th 1804; Lin-Manuel Miranda born Jan 16th 1980)",
"In the movie 'Deadpool & Wolverine', how many minutes pass before this character appears on screen for the first time?",,56 minutes,character in 'Deadpool & Wolverine' not named in answer text
"How many months separated the first comic book appearance of this character, and the premiere of his first Marvel Cinematic Universe movie?",How many months separated the first comic book appearance of Doctor Strange and the premiere of his first Marvel Cinematic Universe movie?,639 months (Doctor Strange first appeared in the July 1963 edition of 'Strange Tales'; the movie 'Doctor Strange' premiered October 2016),
How many minutes into the movie 'Die Hard' was this picture taken from?,,51 minutes,specific film moment/scene cannot be identified from answer text
How many years apart are these Will Smith movies set?,How many years apart are the Will Smith movies 'Wild Wild West' and 'After Earth' set?,"1,202 years ('Wild Wild West' is set in 1869; 'After Earth' is set in 3071)",
How many months after the first public screening of the first 'Star Wars' film was this particular Lego set released?,How many months after the first public screening of the first 'Star Wars' film was the LEGO 75192 Star Wars Millennium Falcon set released?,484 months (First public screening of 'Star Wars' - May 1st 1977; LEGO 75192 Star Wars Millennium Falcon released Sept 14th 2017),
"In minutes, what is the total running time of the two films pictured here?","In minutes, what is the total running time of the films 'E.T. the Extra-Terrestrial' and 'Mars Attacks!'?",220 (E.T. 114 + Mars Attacks! 106),
How many months separated the release of these two singles?,"How many months separated the release of the two singles both titled 'More Than A Woman', by the Bee Gees and by Aaliyah?",281 months ('More Than A Woman' by Bee Gees was released April 1978; 'More Than A Woman' by Aaliyah was released September 2001),
"In days, what is the age difference between these famous sisters?","In days, what is the age difference between sisters Kendall Jenner and Kylie Jenner?","646 days (Kendall Jenner born Nov 3rd 1995, Kylie Jenner born Aug 10th 1997)",
"Including the opening credits, how many minutes into the movie 'The Wolf of Wall Street' was this picture taken from?",,116 minutes (1 hour 56 minutes),specific film moment/scene cannot be identified from answer text
How many days separated the deaths of these two actors?,How many days separated the deaths of actors Roger Moore and Sean Connery?,"1,257 days (Roger Moore died May 23rd 2017; Sean Connery October 31st 2020)",
How many full months passed between the births of the two rappers pictured here?,How many full months passed between the births of rappers Jay-Z and Ye?,90 months (Jay-Z born 1969; Ye born 1977),
How many days passed between the births of the two famous scientists pictured here?,How many days passed between the births of scientists Albert Einstein and Stephen Hawking?,"22,945 days (Albert Einstein 1879 and Stephen Hawking 1942)",
"Discounting ones not yet in operation, what do you get if you add together the number of stations on the Metro systems pictured here?","Discounting ones not yet in operation, what do you get if you add together the number of stations on Manchester's Metrolink and Rome's Metro system?",172 - Manchester's Metrolink has 99 and Rome's Metro system has 73,
"Sharing a first name, how many years after the top musician was born was the bottom musician born?","Sharing a first name, how many years after musician Miles Davis was born was musician Miles Kane born?",60 Miles Davis and Miles Kane,
"Including pre-film credits, how many minutes into this movie is the phrase ""wax on, wax off"" first spoken?","Including pre-film credits, how many minutes into 'The Karate Kid' is the phrase ""wax on, wax off"" first spoken?",55 minutes into 'The Karate Kid',
"In weeks, how old was this woman when she gave birth to her second son?","In weeks, how old was Princess Diana when she gave birth to Prince Harry?","1,211 weeks (Princess Diana was born July 1st 1961; Prince Harry was born August 15th 1984)",
How many years separated the birth of this English queen and the English actress who shares her name?,How many years separated the birth of Henry VIII's wife Jane Seymour and the English actress Jane Seymour who shares her name?,443 years (Henry VIII's wife Jane Seymour was born in 1508. The actress Jane Seymour was born in 1951),
"As the crow flies, to the nearest kilometre, how far apart are the cities in which these two companies were founded?","As the crow flies, to the nearest kilometre, how far apart are the cities in which Adidas and Prada were founded?","474 km (Adidas was founded in Herzogenaurach, Germany; Prada was founded in Milan, Italy)",
How many days passed between the births of the two Spaghetti Western actors pictured here?,How many days passed between the births of Spaghetti Western actors Lee Van Cleef and Clint Eastwood?,"1,968 days (Lee Van Cleef born 1925; Clint Eastwood born 1930)",
"In days, what is the age difference between these two infamous brothers?","In days, what is the age difference between brothers Andrew Tate and Tristan Tate?",592 days (Andrew Tate born December 1st 1986; Tristan Tate born July 15th 1988),
How many full months passed between the initial release of this animated series and the premiere of the first live-action movie in the same franchise?,How many full months passed between the initial release of 'The Transformers' animated TV series and the premiere of the first live-action 'Transformers' movie?,272 months ('The Transformers' TV series first aired September 17th 1984; 'Transformers' the movie premiered June 10th 2007),
How many more Premier League games did this footballer play for Manchester City than he did for Manchester United?,How many more Premier League games did Carlos Tevez play for Manchester City than he did for Manchester United?,50 (Carlos Tevez played 113 PL matches for City and 63 for United),
How many minutes into the movie 'Spider-Man: Homecoming' is this picture taken from?,,77 minutes,specific film moment/scene cannot be identified from answer text
"In the 2007 movie 'Transformers', how many minutes pass before this character appears on screen for the first time?",,61 minutes,character in 'Transformers' (2007) not named in answer text
"In days, what is the age difference between these two acting siblings?","In days, what is the age difference between siblings Jake Gyllenhaal and Maggie Gyllenhaal?","1,129 days (Jake Gyllenhaal born Dec 19th 1980, Maggie Gyllenhaal born Nov 16th 1977)",
How many seconds into 'The Lion King' remake is this picture taken from?,,232 seconds,specific film moment/scene cannot be identified from answer text
"In days, what is the age difference between these two actresses?","In days, what is the age difference between actresses Jenna Ortega and Christina Ricci?","8,263 days (Jenna Ortega born Sept 27th 2002; Christina Ricci born Feb 12th 1980)",
How many DAYS old was the footballer on the left when the footballer on the right made his professional debut?,How many DAYS old was Jude Bellingham when Harry Kane made his professional debut?,"2,757 days (Jude Bellingham was born June 29th 2003; Harry Kane played his first game on loan at Leyton Orient on January 15th 2011)",
How many full months separate the births of this British film director and the American actor he is named after?,How many full months separate the births of film director Steve McQueen and the American actor Steve McQueen he is named after?,474 months (Steve McQueen the actor was born March 24th 1930; Steve McQueen the director was born Oct 9th 1969),
How many days apart were these famous siblings born?,How many days apart were siblings Jaden Smith and Willow Smith born?,846 days (Jaden Smith born July 8th 1998; Willow Smith born Oct 31st 2000),
How many days after the Soviet space probe Venera 7 successfully landed on the surface of Venus was this single released?,How many days after the Soviet space probe Venera 7 successfully landed on the surface of Venus was Bananarama's single 'Venus' released?,"5,634 days (The probe landed on Venus on December 15th 1970; Banarama released 'Venus' on  May 19th 1986)",
"In the original 'Ghostbusters' movie, how many minutes pass before this guy appears on screen for the first time?",,87 minutes (1 hour and 27 minutes),character/actor in original 'Ghostbusters' not named in answer text
How many years separated the births of this English woman and the American actress that shares her name?,"How many years separated the births of Anne Hathaway, William Shakespeare's wife, and Anne Hathaway, the American actress who shares her name?",426 years (William Shakespeare's wife Anne Hathaway was born in 1556. The American actress Anne Hathaway was born in 1982),
How many more floors does the taller of these two buildings have in comparison to the smaller building?,How many more floors does the Empire State Building have in comparison to the Chrysler Building?,Empire State Building has 102 floors; the Chrysler Building has 77 floors,
"To the nearest kilometre, as the crow flies, how far apart are the home grounds of this footballer's current club and his previous club?","To the nearest kilometre, as the crow flies, how far apart are the home grounds of Erling Haaland's current club, Manchester City (Etihad Stadium), and his previous club, Borussia Dortmund (Signal Iduna Park)?","689 km (Erling Haaland's Manchester City play at the Etihad Stadium. His former club, Borussia Dortmund, play at Signal Iduna Park)",
How many days passed between the births of the two actors pictured here?,How many days passed between the births of 'Harry Potter' actors Tom Felton and Daniel Radcliffe?,670 days (Tom Felton 1987 and Daniel Radcliffe 1989 from 'Harry Potter'),
How many days passed between the births of the two musicians pictured here?,How many days passed between the births of musicians Ringo Starr and George Harrison?,963 days (Ringo Starr - 1940; George Harrison - 1943),
"Going by their original Xbox 360 and PlayStation 3 release dates, how many days were there between the launches of these two games?","Going by their original Xbox 360 and PlayStation 3 release dates, how many days were there between the launches of Grand Theft Auto IV and Grand Theft Auto V?","1,967 days (Grand Theft Auto IV - 2008, Grand Theft Auto V - 2013)",
"If you were watching 'Star Wars: A New Hope' on Disney+, how many minutes into the film would you see this image?",,91 minutes,specific film moment/scene cannot be identified from answer text
How many days separated the initial broadcast of this TV show and the premiere of the first movie based upon it?,How many days separated the initial broadcast of 'Downton Abbey' and the premiere of the first movie based upon it?,"3,270 days ('Downton Abbey' first aired September 26th 2010; the premiere of 'Downton Abbey' the film was September 9th 2019)",
How many seconds into the Indiana Jones movie 'Raiders of the Lost Ark' (as it appears on Disney+) is this picture taken from?,,475 seconds (7 minute 55 seconds),specific film moment/scene cannot be identified from answer text
How many months separated the births of this actor and the character he is playing?,"How many months separated the births of actor Cillian Murphy and the character he played, J. Robert Oppenheimer?",865 months (Cillian Murphy was born May 25th 1976; his character J. Robert Oppenheimer was born April 22nd 1904),
"In days, what is the age difference between these two tennis stars?","In days, what is the age difference between tennis stars Rafael Nadal and Novak Djokovic?",353 days (Rafael Nadal born June 3rd 1986; Novak Djokovic born May 22nd 1987),
"Pictured here is a drivable toy Lamborghini car by the brand HOMCOM. How many of these toy cars would you need to equal the weight of a full size 2020 Lamborghini Aventador, assuming both have no passengers, cargo or fuel?","A drivable toy Lamborghini car by the brand HOMCOM weighs 13kg. How many of these toy cars would you need to equal the weight of a full size 2020 Lamborghini Aventador, assuming both have no passengers, cargo or fuel?","118 toy Lamborghinis (the toy weighs 13kg and the car weighs 1,525kg)",
How many seconds into the original album version of this song is the title of the song sung for the first time?,,33 seconds,song not identified in answer text
How many months separated the release of this book and the premiere of the 2020s musical film based upon it?,How many months separated the release of the book 'Matilda' by Roald Dahl and the premiere of the 2020s musical film based upon it?,408 months ('Matilda' by Roald Dahl was first published Oct 1st 1988; the film premiered Oct 5th 2022),
"In days, what is the age difference between these footballers?","In days, what is the age difference between footballers Erling Haaland and Rasmus Hojlund?",928 days (Erling Haaland was born July 21st 2000; Rasmus Hojland was born February 4th 2003),
"In days, what is the age difference between these two acting brothers?","In days, what is the age difference between brothers Macaulay Culkin and Kieran Culkin?","765 days (Macaulay Culkin born Aug 26th 1980, Kieran Culkin born Sept 30th 1982)",
"In the 1999 Disney movie 'Tarzan', how many seconds pass before this character appears on screen for the first time?",,"1,922 seconds (32 minutes and 2 seconds)",character in 'Tarzan' (1999) not named in answer text
"In the list of the 50 most visited websites worldwide as published by Similarweb in June 2023, at what number was the site pictured here?",,49th,website pictured not named in answer text
"To the nearest kilometre, how far apart were these men born?","To the nearest kilometre, how far apart were Donald Trump and Elon Musk born?","12,812 km (Donald Trump was born in Queens, NYC. Elon Musk was born in Pretoria, South Africa)",
How many years passed between the release of the first film adaptation of this book and the release of the most recent?,,102 (1917 - 2019),book/film title not identified in answer text
How many days longer was this British king's reign than his predecessor's?,How many days longer was King George VI's reign than his brother and predecessor Edward VIII's?,"5,209 (George VI ruled from Dec 11th 1936 to Feb 6th 1952. His brother Edward VIII ruled from Jan 20th to 11 Dec 11th 1936)",
"When this picture was taken, how many days older was the guy on the left than the guy on the right?",How many days older was Frank Sinatra than Elvis Presley?,"6,967 days (Frank Sinatra born 12 Dec 1915, Elvis born 8 Jan 1935)",
"Pictured here, how many full months passed between the death of the person on the top and the birth of the person on the bottom?",How many full months passed between the death of Abraham Lincoln and the birth of John F. Kennedy?,625 months (Abraham Lincoln died in 1865 and John F. Kennedy was born in 1917),
How many months separate the births of this actor and the real-life person he is playing?,"How many months separate the births of actor Leonardo DiCaprio and the real-life person he played, Howard Hughes?",826 months (Leonardo DiCaprio born Nov 11th 1974; Howard Hughes born Dec 24th 1905),
