question_text,flags
"""I have no fear of the Trump administration"" is a recent quote from whom?",
"To date, how many women have been the Republican presidential nominee in a US election?",politics
The Anglo-Zanzibar War of 1896 is said to be the shortest war in history. Approximately how long did it last?,politics
"Despite support from Donald Trump and Vladimir Putin, the far-right Viktor Orban was recently ousted as prime minister of which EU country after 16 years in power?",politics
'Build Back Better' was a slogan used by which candidate in the 2020 US presidential election?,politics
"In the UK and Ireland, what six-letter name is given to a thin slice of bacon?",pork
"Which England international midfielder, who is known for his free-kick expertise, joined West Ham from Southampton this year for a fee of around £30m?","pork,time_sensitive_phrase"
"One-word answer. In the world of fairy tales and fables, what type of animal says the phrase: ""Then I'll huff, and I'll puff, and I'll blow your house in""?",pork
"During the Iran-Iraq War of the 1980s, who gained the nickname the Butcher of Baghdad?",politics
"In Switzerland, it is illegal to own only one of which of these popular pets?",pork
"In the job from 2007 to 2012, who preceded François Hollande as President of France?",politics
Tap these letters in order to spell out the name of a British politician.,politics
"Pictured here in 1963 being arrested for his involvement in a protest against segregation, name this American politician, who is still prominent to this day.",politics
Tap only the Looney Tunes characters that have some form of medical speech impediment.,pork
Tap only the animals whose female is called a cow.,
This would have been a staple meal or snack in many countries in the first half of the last century. What four-letter word is on this piece of bread?,pork
How many countries does Egypt share a land border with?,politics
Who is Charlotte in this story?,
What colour is the Star of David on the flag of Israel?,politics
"In what year did Avicii release his debut album 'True', Xi Jinping became president of China, and the Disney movie 'Frozen' premiered in LA?",politics
What is Florence Nightingale often credited with inventing?,
'Malaria Shark' is an anagram of which famous American politician?,politics
Which Disney princess shares her name with that of a month-long Tunisian revolution that ousted the country's dictator in January 2011?,politics
"With the security of Greenland likely to be the central issue, a snap general election will take place this month in which European country?",politics
Tap these letters in order to make the name of a sea passage strait that was recently closed off by Iran.,politics
"Just hours after after being confirmed guilty of misusing public funds, which far-right nationalist figurehead recently announced she would run in next year's French presidential election?",politics
In what year did Joe Biden beat Donald Trump in the US presidential election?,politics
What were the names of Noah's three sons in the Bible?,
"What name is shared by a prominent Irish revolutionary, soldier and politician of the early 20th Century, and an Apollo 11 astronaut?",politics
Tap only the correct country/capital city combinations.,
"Seen during recent protests against the current regime, pictured here is a former flag of what country?","politics,time_sensitive_phrase"
"Starting with the first, put these politicians in order of when they became president of the USA.",politics
"Tako Van Popta, Ed Fast, Navdeep Bains and Harjit Sajjan are or were members of which country's parliament?",politics
"According to the Peppa Pig website, who is Peppa Pig's best friend?",pork
The Strait of Hormuz south of Iran has been in the news recently. Approximately how much of the world's oil is transported through this trade route?,politics
What type of animal must you defeat to complete this popular mobile game?,pork
What was the name given to this burger/hot dog combination that an Australian man managed to patent?,pork
In what year did Donald Trump beat Kamala Harris in the US presidential election?,politics
"Starting with the earliest, put these famous Benjamins in the order in which they were born.",
Which country did the USA side with during the Korean War in the 1950s?,politics
"Longaniza, chosco, secallona and chorizo are Spanish examples of what type of food?",pork
"Starting with the earliest, put these historical events in chronological order.",
What desert separates Egypt and Israel?,politics
"According to Wikipedia, what food represents summer on a traditional Four Seasons pizza?",
